"","SITE","DATE","TIME","AMPM","SPECIES","COUNT","ANTLERED","YOUNG","DATE_TIME"
"114","PM1",2016-09-29,"8:42","AM","deer",2,0,0,2016-09-29 08:42:00
"115","PM1",2016-09-29,"8:43","AM","deer",2,0,0,2016-09-29 08:43:00
"116","PM1",2016-09-29,"8:43","AM","deer",2,0,0,2016-09-29 08:43:00
"117","PM1",2016-09-29,"8:44","AM","deer",2,0,0,2016-09-29 08:44:00
"118","PM1",2016-09-29,"8:45","AM","deer",2,0,0,2016-09-29 08:45:00
"119","PM1",2016-09-29,"8:45","AM","deer",1,0,0,2016-09-29 08:45:00
"120","PM1",2016-09-29,"8:47","AM","deer",1,0,0,2016-09-29 08:47:00
"121","PM1",2016-09-29,"8:48","AM","deer",1,0,0,2016-09-29 08:48:00
"122","PM1",2016-09-29,"8:48","AM","deer",1,0,0,2016-09-29 08:48:00
"123","PM1",2016-09-29,"8:50","AM","deer",2,0,0,2016-09-29 08:50:00
"124","PM1",2016-09-29,"8:50","AM","deer",1,0,0,2016-09-29 08:50:00
"125","PM1",2016-09-29,"8:51","AM","deer",1,0,0,2016-09-29 08:51:00
"126","PM1",2016-09-29,"8:51","AM","deer",1,0,0,2016-09-29 08:51:00
"127","PM1",2016-09-29,"8:52","AM","deer",1,0,0,2016-09-29 08:52:00
"128","PM1",2016-09-29,"8:52","AM","deer",1,0,0,2016-09-29 08:52:00
"129","PM1",2016-09-29,"8:53","AM","deer",1,0,0,2016-09-29 08:53:00
"130","PM1",2016-09-29,"6:09","PM","deer",1,0,0,2016-09-29 18:09:00
"131","PM1",2016-09-29,"6:10","PM","deer",1,0,0,2016-09-29 18:10:00
"132","PM1",2016-09-29,"6:12","PM","deer",1,0,0,2016-09-29 18:12:00
"133","PM1",2016-09-30,"12:34","AM","deer",1,0,0,2016-09-30 00:34:00
"134","PM1",2016-09-30,"12:52","AM","deer",1,0,0,2016-09-30 00:52:00
"135","PM1",2016-09-30,"12:54","AM","deer",1,0,0,2016-09-30 00:54:00
"136","PM1",2016-09-30,"12:57","AM","deer",2,0,0,2016-09-30 00:57:00
"137","PM1",2016-09-30,"12:58","AM","deer",1,0,0,2016-09-30 00:58:00
"138","PM1",2016-09-30,"12:59","AM","deer",1,0,0,2016-09-30 00:59:00
"139","PM1",2016-09-30,"1:01","AM","deer",2,0,0,2016-09-30 01:01:00
"140","PM1",2016-09-30,"1:03","AM","deer",1,0,0,2016-09-30 01:03:00
"141","PM1",2016-09-30,"7:49","AM","deer",1,0,0,2016-09-30 07:49:00
"142","PM1",2016-09-30,"7:54","AM","deer",1,0,0,2016-09-30 07:54:00
"143","PM1",2016-09-30,"7:56","AM","deer",2,0,0,2016-09-30 07:56:00
"144","PM1",2016-09-30,"7:57","AM","deer",2,0,0,2016-09-30 07:57:00
"145","PM1",2016-09-30,"7:59","AM","deer",1,0,0,2016-09-30 07:59:00
"146","PM2",2016-06-12,"6:59","AM","deer",1,0,0,2016-06-12 06:59:00
"147","PM2",2016-06-12,"9:23","PM","deer",1,0,0,2016-06-12 21:23:00
"148","PM2",2016-06-13,"7:53","AM","deer",1,0,0,2016-06-13 07:53:00
"150","PM2",2016-06-23,"7:39","AM","deer",1,0,0,2016-06-23 07:39:00
"151","PM2",2016-06-25,"7:48","AM","deer",1,0,0,2016-06-25 07:48:00
"152","PM2",2016-06-25,"7:53","AM","deer",1,0,0,2016-06-25 07:53:00
"153","PM2",2016-06-25,"7:54","AM","deer",1,0,0,2016-06-25 07:54:00
"154","PM2",2016-06-25,"7:57","AM","deer",1,0,0,2016-06-25 07:57:00
"155","PM2",2016-06-26,"8:13","AM","deer",1,0,0,2016-06-26 08:13:00
"156","PM2",2016-06-26,"8:24","AM","deer",1,0,0,2016-06-26 08:24:00
"157","PM2",2016-07-01,"3:32","PM","deer",1,0,0,2016-07-01 15:32:00
"158","PM2",2016-07-09,"8:27","AM","deer",1,0,0,2016-07-09 08:27:00
"159","PM2",2016-07-09,"8:28","AM","deer",1,0,0,2016-07-09 08:28:00
"160","PM2",2016-07-11,"5:33","PM","deer",1,0,0,2016-07-11 17:33:00
"161","PM2",2016-07-11,"6:30","PM","deer",3,0,0,2016-07-11 18:30:00
"162","PM2",2016-07-11,"6:35","PM","deer",1,0,0,2016-07-11 18:35:00
"163","PM2",2016-07-17,"10:42","AM","deer",1,0,0,2016-07-17 10:42:00
"164","PM2",2016-07-18,"10:34","AM","deer",1,0,0,2016-07-18 10:34:00
"165","PM2",2016-07-20,"2:41","AM","deer",1,0,0,2016-07-20 02:41:00
"166","PM2",2016-07-22,"7:07","PM","deer",1,0,0,2016-07-22 19:07:00
"167","PM2",2016-07-30,"12:11","PM","deer",1,0,0,2016-07-30 12:11:00
"168","PM2",2016-07-30,"12:12","PM","deer",1,0,0,2016-07-30 12:12:00
"169","PM2",2016-07-31,"9:02","AM","deer",1,0,0,2016-07-31 09:02:00
"170","PM2",2016-07-31,"9:04","AM","deer",1,0,0,2016-07-31 09:04:00
"171","PM2",2016-07-31,"9:04","AM","deer",1,0,0,2016-07-31 09:04:00
"172","PM2",2016-07-31,"9:05","AM","deer",1,0,0,2016-07-31 09:05:00
"173","PM2",2016-08-03,"3:29","AM","deer",1,0,0,2016-08-03 03:29:00
"174","PM2",2016-08-04,"6:46","AM","deer",1,0,0,2016-08-04 06:46:00
"175","PM2",2016-08-07,"3:18","AM","deer",2,0,0,2016-08-07 03:18:00
"176","PM2",2016-08-07,"6:17","PM","deer",1,0,0,2016-08-07 18:17:00
"177","PM2",2016-08-07,"6:18","PM","deer",1,0,0,2016-08-07 18:18:00
"178","PM2",2016-08-09,"11:31","AM","deer",1,0,0,2016-08-09 11:31:00
"179","PM2",2016-08-10,"2:11","PM","deer",1,0,0,2016-08-10 14:11:00
"180","PM2",2016-08-11,"11:01","PM","deer",1,0,0,2016-08-11 23:01:00
"181","PM2",2016-08-13,"4:08","PM","deer",1,0,0,2016-08-13 16:08:00
"182","PM2",2016-08-16,"7:43","PM","deer",3,0,1,2016-08-16 19:43:00
"183","PM2",2016-08-20,"7:35","AM","deer",1,0,0,2016-08-20 07:35:00
"184","PM2",2016-08-21,"7:18","PM","deer",1,0,0,2016-08-21 19:18:00
"185","PM2",2016-08-22,"3:26","PM","deer",1,0,0,2016-08-22 15:26:00
"186","PM2",2016-08-23,"3:03","PM","deer",1,0,0,2016-08-23 15:03:00
"187","PM2",2016-08-23,"3:16","PM","deer",1,0,0,2016-08-23 15:16:00
"188","PM2",2016-08-23,"3:17","PM","deer",1,0,0,2016-08-23 15:17:00
"189","PM2",2016-08-23,"3:25","PM","deer",1,0,0,2016-08-23 15:25:00
"190","PM2",2016-08-23,"3:32","PM","deer",1,0,0,2016-08-23 15:32:00
"191","PM2",2016-08-23,"3:34","PM","deer",1,0,0,2016-08-23 15:34:00
"192","PM2",2016-08-23,"6:34","PM","deer",1,0,0,2016-08-23 18:34:00
"193","PM2",2016-08-24,"8:37","AM","deer",1,0,0,2016-08-24 08:37:00
"194","PM2",2016-08-25,"2:55","AM","deer",1,0,0,2016-08-25 02:55:00
"195","PM2",2016-08-25,"2:56","AM","deer",1,0,0,2016-08-25 02:56:00
"196","PM2",2016-08-30,"6:16","PM","deer",1,0,0,2016-08-30 18:16:00
"197","PM2",2016-08-30,"6:17","PM","deer",2,0,0,2016-08-30 18:17:00
"198","PM2",2016-08-30,"6:18","PM","deer",1,0,0,2016-08-30 18:18:00
"199","PM2",2016-09-03,"1:05","AM","deer",1,0,0,2016-09-03 01:05:00
"200","PM2",2016-09-04,"12:42","PM","deer",1,0,0,2016-09-04 12:42:00
"201","PM2",2016-09-04,"12:44","PM","deer",1,0,0,2016-09-04 12:44:00
"202","PM2",2016-09-04,"4:32","PM","deer",2,0,0,2016-09-04 16:32:00
"203","PM2",2016-09-06,"8:11","AM","deer",1,0,0,2016-09-06 08:11:00
"204","PM2",2016-09-08,"1:19","PM","deer",1,0,0,2016-09-08 13:19:00
"205","PM2",2016-09-08,"5:27","PM","deer",1,0,0,2016-09-08 17:27:00
"206","PM2",2016-09-09,"3:18","AM","deer",1,0,0,2016-09-09 03:18:00
"207","PM2",2016-09-09,"10:12","PM","deer",1,0,0,2016-09-09 22:12:00
"208","PM2",2016-09-14,"8:58","AM","deer",1,0,0,2016-09-14 08:58:00
"209","PM2",2016-09-15,"6:58","AM","deer",1,0,0,2016-09-15 06:58:00
"210","PM2",2016-09-15,"7:24","AM","deer",2,0,1,2016-09-15 07:24:00
"211","PM2",2016-09-15,"7:27","AM","deer",1,0,0,2016-09-15 07:27:00
"212","PM2",2016-09-15,"7:31","AM","deer",1,0,0,2016-09-15 07:31:00
"213","PM2",2016-09-16,"8:42","AM","deer",1,0,0,2016-09-16 08:42:00
"214","PM2",2016-09-18,"9:17","AM","deer",1,0,0,2016-09-18 09:17:00
"215","PM2",2016-09-21,"8:07","AM","deer",1,0,0,2016-09-21 08:07:00
"216","PM2",2016-09-21,"8:10","AM","deer",1,0,0,2016-09-21 08:10:00
"217","PM2",2016-09-21,"8:12","AM","deer",1,0,0,2016-09-21 08:12:00
"218","PM2",2016-09-22,"1:12","AM","deer",1,0,0,2016-09-22 01:12:00
"219","PM2",2016-09-25,"8:14","AM","deer",1,0,0,2016-09-25 08:14:00
"220","PM2",2016-09-25,"7:24","PM","deer",1,0,0,2016-09-25 19:24:00
"221","PM2",2016-09-25,"10:23","PM","deer",1,0,0,2016-09-25 22:23:00
"222","PM22",2016-06-09,"6:30","AM","deer",1,0,0,2016-06-09 06:30:00
"224","PM22",2016-06-10,"4:46","AM","deer",1,0,0,2016-06-10 04:46:00
"225","PM22",2016-06-10,"4:10","PM","deer",1,0,0,2016-06-10 16:10:00
"226","PM22",2016-06-10,"4:11","PM","deer",1,0,0,2016-06-10 16:11:00
"228","PM22",2016-06-13,"2:18","AM","deer",1,0,0,2016-06-13 02:18:00
"230","PM22",2016-06-21,"4:42","AM","deer",1,0,0,2016-06-21 04:42:00
"231","PM22",2016-06-21,"4:44","AM","deer",1,0,0,2016-06-21 04:44:00
"232","PM22",2016-06-22,"9:26","AM","deer",1,0,0,2016-06-22 09:26:00
"233","PM22",2016-06-22,"9:27","AM","deer",2,0,2,2016-06-22 09:27:00
"234","PM22",2016-06-24,"2:24","PM","deer",1,0,0,2016-06-24 14:24:00
"235","PM22",2016-06-24,"2:24","PM","deer",1,0,0,2016-06-24 14:24:00
"236","PM22",2016-06-25,"7:08","PM","deer",1,0,0,2016-06-25 19:08:00
"238","PM22",2016-07-05,"10:25","AM","deer",1,0,0,2016-07-05 10:25:00
"239","PM22",2016-07-05,"6:14","PM","deer",1,0,0,2016-07-05 18:14:00
"240","PM22",2016-07-08,"5:18","PM","deer",1,0,0,2016-07-08 17:18:00
"241","PM22",2016-07-11,"2:57","AM","deer",1,0,0,2016-07-11 02:57:00
"242","PM22",2016-07-11,"2:37","PM","deer",1,0,0,2016-07-11 14:37:00
"243","PM22",2016-07-11,"2:38","PM","deer",1,0,0,2016-07-11 14:38:00
"244","PM22",2016-07-17,"9:45","AM","deer",1,0,0,2016-07-17 09:45:00
"245","PM22",2016-07-18,"11:51","AM","deer",1,0,0,2016-07-18 11:51:00
"246","PM22",2016-07-18,"11:52","AM","deer",1,0,0,2016-07-18 11:52:00
"247","PM22",2016-07-18,"11:57","AM","deer",1,0,0,2016-07-18 11:57:00
"248","PM22",2016-07-20,"5:44","PM","deer",1,0,0,2016-07-20 17:44:00
"249","PM22",2016-07-23,"6:40","PM","deer",1,0,0,2016-07-23 18:40:00
"250","PM22",2016-07-23,"7:38","PM","deer",1,0,0,2016-07-23 19:38:00
"251","PM22",2016-07-24,"8:03","PM","deer",2,0,1,2016-07-24 20:03:00
"252","PM22",2016-07-27,"12:27","PM","deer",1,0,0,2016-07-27 12:27:00
"253","PM22",2016-07-27,"12:27","PM","deer",1,0,0,2016-07-27 12:27:00
"254","PM22",2016-07-27,"12:28","PM","deer",1,0,0,2016-07-27 12:28:00
"255","PM22",2016-07-27,"12:29","PM","deer",1,0,0,2016-07-27 12:29:00
"256","PM22",2016-07-28,"9:37","AM","deer",1,0,0,2016-07-28 09:37:00
"257","PM22",2016-08-01,"1:29","AM","deer",1,0,0,2016-08-01 01:29:00
"258","PM22",2016-08-01,"7:57","PM","deer",1,0,0,2016-08-01 19:57:00
"259","PM22",2016-08-02,"8:45","PM","deer",1,0,0,2016-08-02 20:45:00
"260","PM22",2016-08-03,"10:59","AM","deer",1,1,0,2016-08-03 10:59:00
"261","PM22",2016-08-03,"11:00","AM","deer",1,1,0,2016-08-03 11:00:00
"262","PM22",2016-08-03,"11:01","AM","deer",1,1,0,2016-08-03 11:01:00
"263","PM22",2016-08-03,"12:09","PM","deer",1,1,0,2016-08-03 12:09:00
"264","PM22",2016-08-06,"12:20","AM","deer",1,0,0,2016-08-06 00:20:00
"265","PM22",2016-08-06,"5:02","AM","deer",1,0,0,2016-08-06 05:02:00
"266","PM22",2016-08-06,"5:02","PM","deer",1,0,0,2016-08-06 17:02:00
"267","PM22",2016-08-06,"5:03","PM","deer",1,0,0,2016-08-06 17:03:00
"268","PM22",2016-08-06,"5:03","PM","deer",1,0,0,2016-08-06 17:03:00
"269","PM22",2016-08-06,"5:14","PM","deer",1,0,1,2016-08-06 17:14:00
"270","PM22",2016-08-06,"5:14","PM","deer",2,0,2,2016-08-06 17:14:00
"271","PM22",2016-08-06,"5:42","PM","deer",1,0,0,2016-08-06 17:42:00
"272","PM22",2016-08-06,"5:45","PM","deer",1,0,0,2016-08-06 17:45:00
"273","PM22",2016-08-07,"7:17","AM","deer",1,0,1,2016-08-07 07:17:00
"274","PM22",2016-08-07,"8:14","AM","deer",1,0,0,2016-08-07 08:14:00
"275","PM22",2016-08-07,"7:06","PM","deer",1,0,0,2016-08-07 19:06:00
"276","PM22",2016-08-07,"7:39","PM","deer",1,0,1,2016-08-07 19:39:00
"277","PM22",2016-08-09,"1:01","PM","deer",1,0,0,2016-08-09 13:01:00
"278","PM22",2016-08-10,"3:58","AM","deer",1,0,0,2016-08-10 03:58:00
"279","PM22",2016-08-10,"6:40","AM","deer",2,0,1,2016-08-10 06:40:00
"280","PM22",2016-08-10,"6:45","AM","deer",1,0,0,2016-08-10 06:45:00
"281","PM22",2016-08-10,"6:46","AM","deer",1,0,0,2016-08-10 06:46:00
"282","PM22",2016-08-10,"6:54","AM","deer",3,0,2,2016-08-10 06:54:00
"283","PM22",2016-08-10,"6:55","AM","deer",3,0,2,2016-08-10 06:55:00
"284","PM22",2016-08-11,"8:52","AM","deer",1,0,0,2016-08-11 08:52:00
"285","PM22",2016-08-14,"5:22","AM","deer",1,0,0,2016-08-14 05:22:00
"286","PM22",2016-08-19,"8:21","AM","deer",1,0,0,2016-08-19 08:21:00
"287","PM22",2016-08-20,"10:25","AM","deer",1,0,0,2016-08-20 10:25:00
"288","PM22",2016-08-20,"2:23","PM","deer",1,0,0,2016-08-20 14:23:00
"289","PM6",2016-08-08,"8:05","PM","deer",2,0,0,2016-08-08 20:05:00
"290","PM6",2016-08-09,"5:10","AM","deer",1,0,0,2016-08-09 05:10:00
"291","PM6",2016-07-03,"10:43","PM","deer",1,0,0,2016-07-03 22:43:00
"292","PM6",2016-07-05,"4:53","AM","deer",1,0,0,2016-07-05 04:53:00
"293","PM6",2016-07-06,"1:50","AM","deer",1,0,0,2016-07-06 01:50:00
"294","PM6",2016-07-06,"7:33","AM","deer",3,0,1,2016-07-06 07:33:00
"295","PM6",2016-07-06,"7:34","AM","deer",1,0,0,2016-07-06 07:34:00
"296","PM6",2016-07-06,"7:34","AM","deer",1,0,0,2016-07-06 07:34:00
"297","PM6",2016-07-06,"7:35","AM","deer",2,0,0,2016-07-06 07:35:00
"298","PM6",2016-07-06,"7:36","AM","deer",2,0,0,2016-07-06 07:36:00
"299","PM6",2016-07-06,"7:39","AM","deer",1,0,0,2016-07-06 07:39:00
"300","PM6",2016-07-06,"7:40","AM","deer",1,0,0,2016-07-06 07:40:00
"301","PM6",2016-07-06,"7:41","AM","deer",1,0,0,2016-07-06 07:41:00
"302","PM6",2016-07-06,"7:45","AM","deer",1,0,0,2016-07-06 07:45:00
"303","PM6",2016-07-06,"2:54","PM","deer",2,0,1,2016-07-06 14:54:00
"304","PM6",2016-07-06,"2:55","PM","deer",2,0,1,2016-07-06 14:55:00
"305","PM6",2016-07-06,"2:57","PM","deer",1,0,0,2016-07-06 14:57:00
"306","PM6",2016-07-06,"3:14","PM","deer",1,0,0,2016-07-06 15:14:00
"307","PM6",2016-07-06,"3:14","PM","deer",1,0,0,2016-07-06 15:14:00
"308","PM6",2016-07-07,"7:39","AM","deer",1,0,0,2016-07-07 07:39:00
"309","PM6",2016-07-07,"8:13","AM","deer",1,0,0,2016-07-07 08:13:00
"310","PM6",2016-07-11,"2:12","AM","deer",1,0,0,2016-07-11 02:12:00
"311","PM6",2016-07-11,"7:15","AM","deer",1,0,0,2016-07-11 07:15:00
"312","PM6",2016-07-12,"7:14","AM","deer",1,0,0,2016-07-12 07:14:00
"313","PM6",2016-07-13,"2:47","PM","deer",1,0,0,2016-07-13 14:47:00
"314","PM6",2016-07-13,"8:18","PM","deer",2,0,1,2016-07-13 20:18:00
"315","PM6",2016-07-14,"6:18","AM","deer",1,0,0,2016-07-14 06:18:00
"316","PM6",2016-07-14,"6:24","AM","deer",1,0,0,2016-07-14 06:24:00
"317","PM6",2016-07-14,"6:25","AM","deer",2,0,1,2016-07-14 06:25:00
"318","PM6",2016-07-14,"6:27","AM","deer",1,0,0,2016-07-14 06:27:00
"319","PM6",2016-07-14,"6:28","AM","deer",1,0,0,2016-07-14 06:28:00
"320","PM6",2016-07-14,"6:29","AM","deer",1,0,0,2016-07-14 06:29:00
"321","PM6",2016-07-14,"6:29","AM","deer",1,0,0,2016-07-14 06:29:00
"322","PM6",2016-07-14,"6:30","AM","deer",1,0,0,2016-07-14 06:30:00
"323","PM6",2016-07-14,"6:31","AM","deer",2,0,1,2016-07-14 06:31:00
"324","PM6",2016-09-13,"10:44","PM","deer",1,0,0,2016-09-13 22:44:00
"325","PM6",2016-09-14,"9:54","PM","deer",1,0,0,2016-09-14 21:54:00
"326","PM6",2016-09-15,"3:39","AM","deer",1,0,0,2016-09-15 03:39:00
"327","PM6",2016-09-16,"7:32","AM","deer",2,0,0,2016-09-16 07:32:00
"328","PM6",2016-09-16,"7:33","AM","deer",3,0,0,2016-09-16 07:33:00
"329","PM6",2016-09-16,"7:36","AM","deer",1,0,0,2016-09-16 07:36:00
"330","PM6",2016-09-17,"1:09","AM","deer",1,0,0,2016-09-17 01:09:00
"331","PM6",2016-09-18,"2:52","AM","deer",1,0,0,2016-09-18 02:52:00
"332","PM6",2016-09-18,"3:29","AM","deer",1,0,0,2016-09-18 03:29:00
"333","PM6",2016-09-19,"7:24","AM","deer",1,0,0,2016-09-19 07:24:00
"334","PM6",2016-09-19,"7:25","AM","deer",1,0,0,2016-09-19 07:25:00
"335","PM6",2016-09-19,"8:14","PM","deer",1,0,0,2016-09-19 20:14:00
"336","PM6",2016-09-20,"6:49","AM","deer",1,0,0,2016-09-20 06:49:00
"337","PM6",2016-09-20,"7:14","AM","deer",1,0,0,2016-09-20 07:14:00
"338","PM6",2016-09-20,"9:33","PM","deer",1,0,0,2016-09-20 21:33:00
